dauer;status;beginn.monat;female;male;alter;bild
4;0;100;1;0;30;2
7;1;73;0;1;34;3
21;0;104;1;0;54;2
12;0;37;1;0;38;2
36;1;83;0;1;52;2
14;0;111;0;1;41;2
1;1;115;0;1;28;2
10;1;31;0;1;40;1
12;0;40;1;0;28;2
1;1;1;1;0;26;3
8;0;74;0;1;34;2
5;1;95;0;1;40;2
36;0;33;0;1;43;2
3;1;84;0;1;51;3
3;0;102;0;1;42;2
4;1;22;0;1;35;2
1;1;91;0;1;40;1
6;0;7;0;1;37;1
4;0;4;1;0;40;1
24;1;38;1;0;57;3
3;0;65;0;1;27;3
36;0;104;0;1;43;2
1;0;7;0;1;40;1
36;0;78;0;1;50;2
13;1;87;1;0;29;2
10;1;46;1;0;47;2
7;1;6;0;1;48;1
2;1;38;0;1;55;2
11;1;109;0;1;30;3
1;1;73;0;1;29;1
6;1;42;1;0;30;2
4;0;121;0;1;38;2
4;1;102;0;1;32;1
36;0;38;0;1;38;2
16;1;34;0;1;44;2
5;1;119;0;1;26;3
1;1;1;0;1;57;2
4;0;121;1;0;36;2
2;1;117;1;0;26;2
3;1;37;0;1;32;1
3;0;4;1;0;48;3
5;1;35;0;1;29;2
3;1;97;0;1;44;2
10;0;66;0;1;28;2
6;1;100;0;1;25;2
36;0;1;0;1;54;2
11;0;63;1;0;53;2
28;0;97;1;0;26;3
26;0;24;0;1;49;2
1;1;73;0;1;27;2
32;0;67;1;0;46;2
1;0;68;1;0;59;2
4;0;50;1;0;44;2
16;0;73;1;0;46;3
1;1;112;0;1;43;2
3;1;12;0;1;38;1
15;1;16;1;0;30;1
14;1;49;1;0;37;2
6;1;47;1;0;54;2
4;1;102;0;1;27;2
2;1;105;0;1;54;2
2;0;64;0;1;43;1
36;0;81;0;1;39;2
15;0;79;1;0;30;2
2;1;8;0;1;28;3
2;1;37;0;1;28;2
3;1;49;1;0;28;2
3;1;71;0;1;49;1
1;1;88;0;1;30;1
5;0;120;1;0;46;2
28;0;92;1;0;55;2
23;1;84;0;1;27;1
12;0;93;0;1;46;1
36;0;19;0;1;31;3
1;1;37;0;1;36;2
16;1;82;1;0;48;2
1;1;86;1;0;26;2
36;0;101;0;1;34;2
36;0;73;0;1;44;2
3;1;58;1;0;33;2
6;1;34;1;0;26;2
3;1;109;0;1;49;3
36;0;23;0;1;56;2
6;1;107;0;1;26;2
28;0;96;0;1;58;1
